link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
1444404893727,"Rua Chico Mendes, N. 587",CALAFATE,"Casa, 88.76 de área total, 88.76 de área privativa, 250.06 de área do terreno, 3 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha.",145350.01,225000.0,35.4,Venda Direta Online,Ver foto,RIO BRANCO,AC
1444406125085,"Rua Manoel Rodrigues de Souza, N. 81, Dom Giocondo",BOSQUE,"Casa, 672.90 de área total, 672.90 de área privativa, 467.32 de área do terreno, 3 qto(s), varanda, a.serv, 1 suite(s), WC, WC Emp, 2 sala(s), DCE, sacada, cozinha, 1 vaga(s) de garagem.",361760.01,560000.0,35.4,Venda Direta Online,,RIO BRANCO,AC
1444406224032,"R CLEIDE CORREIA LIMA, N. 05, LT 05, QD 74",LOTEAMENTO SANTO AFONSO,"Casa, 100.76 de área total, 100.76 de área privativa, 312.50 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), piscina, cozinha.",149872.01,232000.0,35.4,Venda Direta Online,,RIO BRANCO,AC
1444406746438,"RUA ALMINO ALVES, N. 122, QD 09 LT 03",NOVA ESPERANCA,"Casa, 0.00 de área total, 118.90 de área privativa, 295.92 de área do terreno.",426300.0,296000.0,0.0,1º Leilão SFI,,RIO BRANCO,AC
1555507746010,"Rua Boulevard Augusto Monteiro, N. 994",TRIANGULO NOVO,"Loja, 781.00 de área total, 781.00 de área privativa, 869.78 de área do terreno.",402750.0,895000.0,55.0,Venda Direta Online,,RIO BRANCO,AC
1555517212573,"Rua Venezuela, N. 51",HABITASA,"Casa, 124.07 de área total, 0.00 de área privativa, 260.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",91732.0,142000.0,35.4,Venda Direta Online,Ver foto,RIO BRANCO,AC
18234,"Rua Antonio da Rocha Viana, N. 2865, Lote nº NO/33/08/74/02",VILA IVONETE,"Comercial, 600.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.",539550.0,981000.0,45.0,Venda Direta Online,,RIO BRANCO,AC
8053400003826,"ESTRADA DE PORTO ACRE, N. 102, Chácara Vó Dourinha",ALTO ALEGRE,"Casa, 337.32 de área total, 337.32 de área privativa, 900.00 de área do terreno, 3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",148000.0,370000.0,60.0,Venda Direta Online,Ver foto,RIO BRANCO,AC
8444401540295,"R CEDRO, N. 02, LT 02, QD 125",PORTAL DA AMAZONIA,"Casa, 81.13 de área total, 81.13 de área privativa, 250.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",60804.01,90000.0,32.44,Venda Direta Online,,RIO BRANCO,AC
8555515907521,"RUA PLACIDO DE CASTRO, N. 54",TANCREDO NEVES,"Casa, 0.00 de área total, 120.35 de área privativa, 269.50 de área do terreno, 3 qto(s), a.serv, WC, 1 sala(s), cozinha.",82171.51,145000.0,43.33,Venda Direta Online,Ver foto,RIO BRANCO,AC
8555516571730,"Rua Acre, N. 298",AEROPORTO VELHO,"Casa, 70.00 de área total, 70.00 de área privativa, 400.00 de área do terreno, a.serv, 3 suite(s), 1 sala(s), sacada, cozinha.",92372.11,163000.0,43.33,Venda Direta Online,,RIO BRANCO,AC
10002234,"RUA SENA MADUREIRA, N. S/N, LOTE 9-C, QUARTEIRÃO 14",CENTRO,"Comercial, 106.55 de área total, 106.55 de área privativa, 49.99 de área do terreno, WC, 2 sala(s).",144000.0,200000.0,28.0,Venda Direta Online,,RODRIGUES ALVES,AC
1444407134380,"Rua Hugo Carneiro, N. 400, Lt 02, Quarteirão 36",CENTRO,"Casa, 178.73 de área total, 178.73 de área privativa, 481.45 de área do terreno, 3 qto(s), a.serv, WC, 1 sala(s), cozinha.",59500.0,170000.0,65.0,Venda Direta Online,,RODRIGUES ALVES,AC
1444408168083,"Av. Ernesto Geisel, N. 610, Qd 82, Lt 22/23",CENTRO,"Casa, 144.00 de área total, 144.00 de área privativa, 600.00 de área do terreno, 3 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.",52500.0,150000.0,65.0,Venda Direta Online,,RODRIGUES ALVES,AC
10006203,"Trav Raimundo amaro, N. 01, Lt. 01, Qd. 48, St. 04",CENTRO,"Terreno, 39253.00 de área total, 0.00 de área privativa, 39253.00 de área do terreno.",323662.2,446000.0,27.43,Venda Direta Online,,SENA MADUREIRA,AC
1444406309925,"R RUA MANOEL FIRMINO MATOS, N. 21, QD 03, LT 21,",CENTRO,"Casa, 87.36 de área total, 87.36 de área privativa, 438.29 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",84626.01,131000.0,35.4,Venda Direta Online,,SENA MADUREIRA,AC
1444408565112,"R JOAO MARCAL, N. S/N, LT 165, QD 37, ST 03",CENTRO,"Comercial, 209.00 de área total, 209.00 de área privativa, 325.00 de área do terreno.",275199.4,378000.0,27.2,Venda Direta Online,,SENA MADUREIRA,AC
1444408584613,"Estrada Xiburema, N. 549, Lt. 549-A, Qd. 02, St. 06",CENTRO,"Terreno, 19680.00 de área total, 0.00 de área privativa, 19680.00 de área do terreno.",505736.96,800000.0,36.79,Venda Direta Online,,SENA MADUREIRA,AC
1444408769109,"ESTRADA XIBUREMA, N. 5809, ST6 Q2 LT549",CENTRO,"Gleba, 0.00 de área total, 0.00 de área privativa, 10430.00 de área do terreno.",278150.61,377000.0,26.22,Venda Direta Online,,SENA MADUREIRA,AC
1555527028813,"Travessa Guilherme, N. 1873, Lt 01, Qd 02, St 03",,"Casa, 186.39 de área total, 186.39 de área privativa, 495.08 de área do terreno, 2 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",140250.0,255000.0,45.0,Venda Online,,SENA MADUREIRA,AC
1555531272650,"RUA PROJETADA, N. s/n°, St 06, Qd 01, Lt 39-B",,"Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 18856.00 de área do terreno.",279718.01,433000.0,35.4,Venda Direta Online,,SENA MADUREIRA,AC
1444402339374,"Rua Jamil Bestene, N. 1365",,"Casa, 94.71 de área total, 94.71 de área privativa, 384.39 de área do terreno, 3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",47158.01,73000.0,35.4,Venda Direta Online,,SENADOR GUIOMARD,AC
1555503579461,"Rua Manoel Lourenço, N. 404, Mercantil Praia - Lote 46",CENTRO,"Loja, 176.00 de área total, 176.00 de área privativa, 231.80 de área do terreno.",58200.0,194000.0,70.0,Venda Direta Online,,TARAUACA,AC
