link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
8444409997421,"Rua Antonio Ferreira Prates, N. 621, Bairro Joaquim Mascarenhas",CENTRO,"Casa, 43.55 de área total, 43.55 de área privativa, 236.50 de área do terreno, 2 qto(s), WC, 1 sala(s), cozinha.",44336.01,80000.0,44.58,Venda Direta Online,Ver foto,POCOES,BA
1555513067145,"Rua Amazonas (Conforme Laudo de Avaliação), N. S/N",CENTRO,"Terreno, 23550.00 de área total, 0.00 de área privativa, 23550.00 de área do terreno.",438300.0,974000.0,55.0,Venda Online,Ver foto,POJUCA,BA
1444406052304,"ESTRADA DAS CHACARAS, N. 00000, CORREGO DE TAIPE",CENTRO,"Gleba Urbana, 22000.00 de área total, 0.00 de área privativa, 22000.00 de área do terreno.",330000.0,660000.0,50.0,Venda Online,Ver foto,PORTO SEGURO,BA
10008686,Rua Projetada IV (antiga Rua Joaquim G Junior) s/n,CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 733.04 de área do terreno.",52838.94,117000.0,54.84,Venda Direta Online,Ver foto,RIACHO DE SANTANA,BA
1444400239488,"R RAIMUNDO JOAQUIM DE ARAUJO, N. 00000, QUADRA 88, LOTE 7, SETOR 4",CENTRO,"Casa, 103.50 de área total, 103.50 de área privativa, 247.50 de área do terreno, 3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",70447.16,110000.0,35.96,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
1444402042843,"Av. Pastor Arcenio Alvares dos Santos, N. s/n, Setor 04, Qd. 52, Lt. 08",CENTRO,"Casa, 131.40 de área total, 131.40 de área privativa, 359.38 de área do terreno, 2 qto(s), varanda, a.serv, 1 suite(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",96254.0,149000.0,35.4,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
1444404308484,"Rua Raimundo Joaquim de Aaraújo, N. 192, Quadra 82, lote 04, Setor 04",CENTRO,"Casa, 133.92 de área total, 133.92 de área privativa, 258.70 de área do terreno, 1 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",101422.01,157000.0,35.4,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
1444406521649,"R J (ATUAL PRESIDENTE KENNEDY), Q-19A LT 2",CENTRO,"Casa, 173.50 de área total, 173.50 de área privativa, 250.00 de área do terreno, 3 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.",139536.01,216000.0,35.4,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
1444406884741,"RUA GILASIO VALADARES SANTOS, N. 167, St 05 Qd 64 Lt 12",CENTRO,"Casa, 0.00 de área total, 94.00 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",86047.21,133200.0,35.4,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444402502079,"Rua Velha da Faz Aracaju s/n, Qd 80, Lote 06, Setor 02",CENTRO,"Casa, 69.45 de área total, 69.45 de área privativa, 90.24 de área do terreno, 2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",42673.41,77000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
